config_name,ablation,error,code_distance,episodes_completed,num_samples,physical_error_rate,seed,test_distance,train_distance,training_episodes,avg_recent_reward,ci_95_lower,ci_95_upper,convergence_episode,deviation_from_benchmark,expected_benchmark,generalization_gap,logical_error_rate,logical_error_rate_mwpm,logical_error_rate_rl,mwpm_benchmark,mwpm_ci_95_lower,mwpm_ci_95_upper,mwpm_test_error_rate,relative_deviation,rl_ci_95_lower,rl_ci_95_upper,rl_vs_mwpm_at_test,rl_vs_mwpm_ratio,stderr,test_ci_95_lower,test_ci_95_upper,test_logical_error_rate,train_logical_error_rate,training_loss,training_time_sec
comparison_d13_s2,None,None,13,,,0.005,2,,,2000,,,,,,,,,0.07,0.71,0.00019056832297109852,0.04763537793746561,0.0923646220625344,,,0.6702260024639212,0.7497739975360788,,10.14285714285714,,,,,,,
comparison_d13_s3,None,None,13,,,0.005,3,,,2000,,,,,,,,,0.068,0.76,0.00019056832297109852,0.04593349861894733,0.09006650138105268,,,0.7225645130925215,0.7974354869074786,,11.176470588235293,,,,,,,
comparison_d13_s4,None,None,13,,,0.005,4,,,2000,,,,,,,,,0.092,0.752,0.00019056832297109852,0.06666575844435046,0.11733424155564953,,,0.7141465184269663,0.7898534815730337,,8.173913043478262,,,,,,,
comparison_d13_s5,None,None,13,,,0.005,5,,,2000,,,,,,,,,0.07,0.736,0.00019056832297109852,0.04763537793746561,0.0923646220625344,,,0.6973622400649313,0.7746377599350687,,10.514285714285712,,,,,,,
comparison_d15_s1,None,None,15,,,0.005,1,,,2000,,,,,,,,,0.078,0.752,9.250889464616434e-05,0.054493724004002674,0.10150627599599732,,,0.7141465184269663,0.7898534815730337,,9.64102564102564,,,,,,,
comparison_d15_s2,None,None,15,,,0.005,2,,,2000,,,,,,,,,0.07,0.76,9.250889464616434e-05,0.04763537793746561,0.0923646220625344,,,0.7225645130925215,0.7974354869074786,,10.857142857142856,,,,,,,
comparison_d15_s3,None,None,15,,,0.005,3,,,2000,,,,,,,,,0.096,0.754,9.250889464616434e-05,0.07017793910626033,0.12182206089373968,,,0.7162493620080401,0.7917506379919599,,7.854166666666667,,,,,,,
comparison_d15_s4,None,None,15,,,0.005,4,,,2000,,,,,,,,,0.088,0.726,9.250889464616434e-05,0.0631681072167263,0.11283189278327369,,,0.6869055902103638,0.7650944097896362,,8.25,,,,,,,
comparison_d15_s5,None,None,15,,,0.005,5,,,2000,,,,,,,,,0.072,0.77,9.250889464616434e-05,0.049342535640544416,0.09465746435945557,,,0.7331124042529199,0.8068875957470801,,10.694444444444445,,,,,,,
zeroshot_d7to15_ep200_s1,None,None,,,,0.005,1,15,7,200,,,,,,,0.06000000000000005,,,,,,,0.104,,,,7.653846153846154,,,0.7606782114156149,0.8313217885843852,0.796,0.736,,
