time_years,S_total,S_1mm_1cm,S_1cm_10cm,S_10cm_1m,S_1m_plus,S_400_600km,S_600_800km,S_800_1000km,S_1000_1200km,S_1200_1500km,S_1500_plus_km,cumulative_collisions,collision_rate_per_year,cascade_gain_G,cascade_multiplier_Km,collisions_this_step,fragments_generated,launches,objects_decayed,scenario,pmd_compliance
1.0,123108563.98757188,122177956.32920888,879726.0187640049,29602.918241364667,21278.721357647224,14101389.2812846,24512104.20773557,38804700.61377434,23469465.51265478,15682061.167152217,6538843.204970382,185.0,244.51694996982408,1831.1063118461873,0.06452942127991554,23.0,4836.801763222773,1264.4,702275.6147223901,PMD_80,0.8
1.1,122426686.59775129,121497264.41957507,877884.0539693871,29564.162661766153,21973.961545050206,13642292.078409329,24350409.5581153,38757578.8421886,23459442.33611739,15678935.686322182,6538028.096598492,212.0,259.7729804572703,1659.060780781373,0.06361325987162786,27.0,2987.5770323472184,707.2971428571428,685588.8354243678,PMD_80,0.8
1.2000000000000002,121760082.3235174,120831900.56104916,875988.9424663944,29525.555316074337,22667.264685778257,13198115.726783793,24189567.94988614,38709950.46781512,23449424.253344856,15675810.833670553,6537213.092016941,231.0,264.891587053626,1504.154702703236,0.060225449558766596,19.0,2090.0,707.3371428571429,669420.1828053063,PMD_80,0.8
1.3,121110268.14336912,120183216.78292698,874205.5282871047,29487.190084919643,23358.642070126454,12768701.183695534,24029919.226408977,38662601.67119723,23439741.261782363,15672906.609072225,6536398.1912128115,260.0,269.96477895798927,1364.799842889282,0.05702154920820165,29.0,3207.5770323472184,707.3771428571429,653745.7057520464,PMD_80,0.8
1.4000000000000001,124509189.2036861,123504652.35041918,949507.9794320003,30952.876870427288,24075.99696450597,12353345.229460882,23871094.295520976,38615202.11808844,27464071.19653636,15669892.969906261,6535583.394173195,283.0,274.99895284539014,18779.450264782405,0.8155911117406425,23.0,4036759.993421871,707.4171428571428,638562.9216763254,PMD_80,0.8
1.5,123886936.27557889,122883534.03224976,947724.0366556386,30914.661452273587,24763.54522123318,11951477.282019889,23713873.226184566,38567531.86441435,27452515.264771085,15666769.937303832,6534768.700885178,309.0,309.93119003119006,16912.505238304166,0.8471983553415031,26.0,2860.0,707.4571428571429,625838.956678636,PMD_80,0.8
1.6,123278948.90040624,122276664.60604873,945958.4627385653,30876.63692369351,25449.194695267997,11562655.25735237,23557255.5732311,38520361.22587572,27441075.20021922,15663647.532391977,6533954.111335852,335.0,315.23638392834783,15232.25471447375,0.79412361251481,26.0,2860.0,707.4971428571429,611573.4437440817,PMD_80,0.8
1.7000000000000002,122685344.66499533,121684111.66680135,944261.2415228584,30838.80207059093,26132.954600535835,11186561.563011957,23402007.165129263,38473029.60834554,27430080.947950568,15660525.755045682,6533139.625512309,366.0,320.50502352784827,13720.029243026374,0.7439939880213311,31.0,3410.0,707.5371428571428,597740.3439823549,PMD_80,0.8
1.8,122104157.5965785,121104049.52404107,942492.082745362,30801.155686873713,26814.83410517643,10822999.220446223,23247679.032542825,38426087.19794796,27417662.297099885,15657404.605139956,6532325.243401647,388.0,325.7408317863243,12359.026318723738,0.6966915697306992,22.0,2420.0,707.5771428571429,584333.2169882633,PMD_80,0.8
1.9000000000000001,121536951.6342047,120537862.53586435,940830.559434165,30763.69657440067,27494.84233177203,10471448.111912673,23094155.023083385,38379203.53097878,27406349.920689076,15654284.082549833,6531510.964990957,419.0,330.9316127964492,11134.123686851364,0.6520746721605778,31.0,3410.0,707.6171428571429,571342.1509452184,PMD_80,0.8
2.0,120985302.28383605,119987120.3790885,939281.5740114572,30727.32446933567,28173.00626676208,10131074.95838497,22942089.71475375,38335013.337576136,27395263.29570347,15651164.187150372,6530696.79026734,456.0,336.09730246974163,10037.94591752629,0.6104512295293032,37.0,6376.801763222773,707.6571428571428,558750.3807033051,PMD_80,0.8
2.1,120443010.21234985,119445805.93035638,937664.7467612664,30690.236111264094,28849.299120934287,9801952.977994794,22790813.58527117,38288243.69576707,27384072.315282263,15648044.918816663,6529882.719217894,488.0,341.239445511255,9045.15132577366,0.5709134894081117,32.0,3520.0,707.6971428571429,546538.3400576263,PMD_80,0.8
2.2,119912889.75775956,118916617.64164329,936095.036845285,30653.331477249027,29523.74779372918,9483603.806656128,22640431.311707534,38241312.58156357,27373437.02857877,15645036.277423812,6529068.751829719,523.0,346.34330456923743,8151.636193196295,0.5337233495140395,35.0,3850.0,707.7371428571429,534696.7631617397,PMD_80,0.8
2.3000000000000003,119396666.75639492,118401265.39652765,934587.4704034948,30617.51032683581,30196.37913694627,9175674.552834636,22491156.91728225,38194330.18170237,27362917.172798526,15644333.043687226,6528254.888089918,559.0,351.4212691701199,7353.880356552284,0.49921989741316414,36.0,6266.801763222774,707.7771428571428,523214.15169926384,PMD_80,0.8
2.4000000000000004,118889382.50559233,117894862.95937315,933071.4104326529,30580.969557951434,30867.166228598257,8877823.890296552,22342873.086184494,38148176.55277373,27351852.693224642,15641215.155127335,6527441.127985594,596.0,356.472663099482,6629.492320897056,0.46639080056450816,37.0,4070.0,707.8171428571428,512080.63937401795,PMD_80,0.8
2.5,118392344.84328385,117398742.25344904,931521.8449656194,30544.609035568606,31536.135833630513,8589721.67900266,22195353.240517486,38101750.711935684,27340793.8470908,15638097.89323338,6526627.471503852,628.0,361.49278640320364,5977.543088807351,0.4355888703979223,32.0,3520.0,707.8571428571429,501284.09087990824,PMD_80,0.8
2.6,117907319.60818303,116914479.24020861,930128.6435966416,30508.42761574487,32203.296762018417,8311158.598430191,22049252.224917483,38055712.976754405,27330290.63156859,15635091.257880546,6525813.918631801,674.0,366.4851699663913,5390.7887799266155,0.4067061828725259,46.0,5060.0,707.8971428571429,490811.70367228094,PMD_80,0.8
2.7,117430574.53810075,116438652.09324494,928581.3629137749,30472.42416207635,32868.65777996514,8041492.390303319,21903790.78196362,38009292.88488664,27319022.783894494,15631975.227696132,6525000.46935655,703.0,371.4584198804407,4862.709901933954,0.379664157227342,29.0,3190.0,707.9371428571428,480661.57865368057,PMD_80,0.8
2.8000000000000003,119381034.04788804,118342843.16649593,973305.2090098226,31336.530597084045,33549.141785201056,10197561.009886138,21759294.541248184,37962930.88400007,27307980.66528099,15629079.823807456,6524187.123665209,738.0,376.3983946768268,11292.272520948485,0.7789849375666569,35.0,2420541.7632227736,707.9771428571429,470806.80200691527,PMD_80,0.8
2.9000000000000004,118848836.99438956,117811979.30283919,971351.0278708208,31295.80102329467,34210.86265626352,9867205.134482881,21618171.9043539,37916846.901535496,27297054.168878466,15626185.003593927,6523373.881544887,777.0,384.3871250983317,10179.960145169593,0.7332689177620103,39.0,6596.801763222773,708.0171428571429,539518.443833144,PMD_80,0.8
3.0,118326249.42292911,117290730.14317212,969394.1038745579,31254.38373073212,34870.79215167829,9547433.037948862,21476121.029998545,37870600.60518302,27286353.23987682,15623180.766939154,6522560.7429827,817.0,389.2726921666072,9172.964130652634,0.6840554060728787,40.0,4400.0,708.0571428571428,527714.200031893,PMD_80,0.8
3.1,117814793.44513483,116780723.69110033,967439.6178458408,31213.17940192223,35416.95678675044,9238225.732835187,21334572.915130746,37824632.18272299,27275437.771505475,15620177.134974675,6521747.707965761,855.0,394.1313770546828,8266.66771758737,0.6377147933017284,38.0,4180.0,548.0971428571429,516250.64636568184,PMD_80,0.8
3.2,121349116.65662777,120237784.05163085,1042666.6924887989,32676.092990517045,35989.81951761513,8939126.555248799,21193964.05667465,37778831.30202609,31299085.858617067,15617174.107579982,6520934.77648119,897.0,398.85572252927625,17056.310453975944,1.3552786103238528,42.0,4038849.993421871,548.1371428571429,505139.4905003677,PMD_80,0.8
3.3000000000000003,120860202.97660518,119750235.11517969,1040798.1798860322,32636.071020666044,36533.61051879778,8649694.523693547,21054413.807884645,37733087.76129098,31288823.2505853,15614061.684634594,6520121.948516103,938.0,440.4612590397361,15367.34862515291,1.3775690276165156,41.0,6834.378795569993,548.1771428571428,496358.8073896078,PMD_80,0.8
3.4000000000000004,120380628.56431122,119271923.44266042,1039033.6159618058,32595.309323750185,37076.196365234224,8369832.904946514,20915553.96837759,37687181.48888537,31277801.09077815,15610949.887265965,6519309.224057623,990.0,445.52649653649934,13841.61376263762,1.2819096258068186,52.0,5720.0,548.2171428571429,485909.20086538594,PMD_80,0.8
3.5,119910526.61863069,118803123.97998768,1037230.281844489,32554.755221055773,37617.60157748668,8099118.541703176,20777725.492971193,37641442.67310778,31265904.592406183,15607838.715349505,6518496.603092867,1036.0,450.56900636231603,12468.452386373858,1.1925407154709262,46.0,5060.0,548.2571428571429,475776.774251937,PMD_80,0.8
3.6,119450471.04744719,118344330.899082,1035467.9091878248,32514.407386469822,38157.83179088883,7837251.938155322,20641141.57413971,37595871.11226698,31253574.168515574,15604948.168760642,6517684.08560896,1084.0,455.5895370008332,11232.607147736473,1.1090871788793153,48.0,5280.0,548.2971428571428,465950.4397549427,PMD_80,0.8
3.7,119001808.79167306,117896915.3377797,1033721.3779422829,32475.165429036017,38696.91052202196,7583723.412127146,20505024.070639994,37552991.40843227,31241140.024001617,15602058.204878993,6516871.671593028,1128.0,460.59294710296916,10125.589164242878,1.0317596177804285,44.0,7146.801763222773,548.3371428571429,456421.9661087899,PMD_80,0.8
3.8000000000000003,118562725.13703237,117459028.63230518,1032025.5524004042,32436.126888472376,39234.825438306965,7338589.578633154,20370249.720929902,37509395.44515109,31229482.20769768,15598948.82358835,6516059.361032196,1175.0,465.58975523190566,9128.93833667651,0.9596208394670965,47.0,7476.801763222773,548.3771428571429,447173.40497531724,PMD_80,0.8
